filename	xmlid	author-name	author-gender	title	subgenre	pub-year-ref	firstEdition	digitalSource	printSource
Varner_Chance	Varner_Chance	Varner, Linda	F	Une chance d'Irlandais	sentimental	1990	nan	1990	1990
Card_Trilogie	Card_Trilogie	Card, Orson Scott	M	La trilogie d'Ender	tbc	1991	1991	1993	1993
LeClezio_Onitsha	LeClezio_Onitsha	Le Clézio, Jean-Marie Gustave	M	Onitsha	blanche	1991	nan	1991	1991
Pozzessere_Homme	Pozzessere_Homme	Pozzessere, Heather Graham	F	L'homme aux yeux de glace	sentimental	1991	nan	1991	1991
Roszel_Jardin	Roszel_Jardin	Roszel, Renee	F	Le jardin des amants	sentimental	1991	nan	1991	1991
Japrisot_Passager	Japrisot_Passager	Japrisot, Sébastien	M	Le Passager de la Pluie	policier	1992	1992	nan	NA
Dunyach_Voleurs	Dunyach_Voleurs	Dunyach, Jean-Claude	M	Voleurs de silence	tbc	1992	NA	1992	1992
Valetti_Labyrinth	Valetti_Labyrinth	Valetti, Oscar	M	Labyrinth-jungle	tbc	1992	NA	1992	1992
Bourin_Compagnons	Bourin_Compagnons	Bourin, Jeanne	F	Les compagnons d'éternité	blanche	1992	nan	1992	1992
Facon_Compagnons	Facon_Compagnons	Facon, Roger	M	Les compagnons de la lune blême	tbc	1992	NA	1992	1992
Jardin_Petit	Jardin_Petit	Jardin, Alexandre	M	Le petit sauvage	blanche	1992	nan	1992	1992
Rolin_Deux	Rolin_Deux	Rolin, Dominique	F	Deux femmes un soir	blanche	1992	nan	1992	1992
Ravey_Bureau	Ravey_Bureau	Ravey, Yves	M	Bureau des Illettres	blanche	1992	1992	nan	NA
Ligny_Cyberkiller	Ligny_Cyberkiller	Ligny, Jean-Marc	M	Cyberkiller	tbc	1993	NA	1993	1993
Behm_Cherche	Behm_Cherche	Behm, Marc	M	Et ne charche pas à savoir	policier	1993	1993	1996	1996
LeBussy_Tremblemer	LeBussy_Tremblemer	Le Bussy, Alain	M	Tremblemer	tbc	1993	NA	1993	1993
Nothomb_Sabotage	Nothomb_Sabotage	Nothomb, Amélie	F	Le Sabotage Amoureux	blanche	1993	1993	nan	NA
Bon_Temps	Bon_Temps	Bon, François	M	Temps Machine	blanche	1993	1993	nan	NA
Constant_Fille	Constant_Fille	Constant, Paule	F	La fille du Gobernator	blanche	1994	nan	1994	1994
